TEXTBODY,Category
".cs2654AE3A{text-align:left;text-indent:0pt;margin:0pt 0pt 0pt 0pt} .cs1E88C66E{color:#000000;background-color:transparent;font-family:Arial;font-size:10pt;font-weight:normal;font-style:normal;} .cs1BA52A26{color:#000000;background-color:transparent;font-family:Arial;font-size:10pt;font-weight:bold;font-style:normal;} .csE8AC24F0{color:#000000;background-color:transparent;font-family:Arial;font-size:12pt;font-weight:normal;font-style:normal;} .cs7036A9B6{text-align:left;text-indent:0pt;margin:1pt 0pt 1pt 0pt;background:#90EE90} .csDAAE5F7{color:#000000;background-color:transparent;font-family:Calibri;font-size:12pt;font-weight:normal;font-style:normal;} .csD98CF629{text-align:left;text-indent:0pt;margin:0pt 0pt 10pt 0pt;line-height:1.15} .csE66C222C{color:#C00000;background-color:transparent;font-family:Times New Roman;font-size:12pt;font-weight:bold;font-style:italic;} .cs25D3D7C1{color:#0A21CC;background-color:transparent;font-family:Times New Roman;font-size:12pt;font-weight:bold;font-style:normal;text-decoration: underline;} .cs9D3549D9{color:#0A21CC;background-color:transparent;font-family:Times New Roman;font-size:12pt;font-weight:bold;font-style:italic;} .cs6B116EB5{color:#000000;background-color:transparent;font-family:Arial;font-size:10pt;font-weight:normal;font-style:normal;text-decoration: none;} .cs71F31A25{color:#0000FF;background-color:transparent;font-family:Arial;font-size:10pt;font-weight:normal;font-style:normal;text-decoration: underline;} .csA6487F39{color:#000000;background-color:transparent;font-family:Arial;font-size:10pt;font-weight:normal;font-style:italic;} .cs162A16FE{} .csE5CC87A6{padding:0.75pt 0.75pt 0.75pt 0.75pt;border-top:none;border-right:none;border-bottom:none;border-left:none} .cs7C1F8B9D{text-align:right;text-indent:0pt;margin:0pt 0pt 0pt 0pt} .cs2EEA46EA{color:#000000;background-color:transparent;font-family:Arial;font-size:10pt;font-weight:normal;font-style:italic;text-decoration: none;} ABC, This message is to advice you that your inquiry regarding outstanding invoices/credits has been resolved.you for contacting OPC Customer Support @ HMSHost. Request Summary:ABC Food Services (Act: 949669)- Payment Inquiry for Unpaid Invoice #s OBCL267980139 & OBUN2202194 Resolution Notes:The credit of $16.92 was pay backed since it was taken double. The credit for $391.20 will not be credit back because there is a credit memo sent by ABC and the original invoice was paid in full. Should there be any further questions, do not hesitate to contact HMSHost CVR via e-mail or phone, quoting your assigned request number. If you would like free, secure access to your invoice status and payment information via our on-line FirstVendor portal emailopccustomersupport@hmshost.comand put ""First Vendor Access"" in the subject line. Take the ISC Survey Sincerely, Denver Taylor, HMSHost Corp. | Integrated Services Center (ISC) Desk: 240-694-4678 | Fax: 240-694-4550 Request Details: - ABC Food Services (Act: 949669)- Payment Inquiry for Unpaid Invoice #s OBCL267980139 & OBUN2202194 Body of email: ABC Business Services 24500 Hwy 290 Cypress, TX 77429 281-758-6000 Total Overdue Balance: USD 1,873.20 Total Balance: USD 20,549.78 3/10/2019 SMASHBURGER BUSH AIRPORT TB, We you for your business. This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through ABC Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 1,873.20 Overdue: USD 1,873.20 For your convenience, a link to ABC Account Center is provided below to make a payment. ABC Account Center On ABC Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Paid by Customer
"Paid 04/05/2019, check 639621 Edwin|MacKnight Manager- Accounts Payable Holiday Inn Club Vacations ....................................... Orange Lake Resort 9271 S John Young Parkway Orlando, FL 32819 T: 407-395-6822",Paid by Customer
" Scott and I will not be checking email until Wednesday, April 10th. If this is of an urgent nature, give The Deck a call at (517) 900-9213.",Out of office
Payment was made on Saturday and it has already pulled from my account.,Paid by Customer
 send me copies of the following invoices: 297077714 - $1929.53 297083179 - $870.45 297136699 - $707.38 297136700 - $59.34 Im showing them outstanding on my statement and need to look into it.,Statement
" Can you send me a copy of invoice 245815942 and backup for all of the credits? Also, invoice 245657452 was short paid because we refused a delivery of the wrong flavor of ruffles. It was 4 cases at 34.96 each.",Statement
"Check 5865 for $725.07 was mailed Friday. you, Amanda Adams Corporate Controller Morton Group Vegas Greek Sneek, MGM Grand, Las Vegas MB Steak, Hard Rock Hotel and Casino, Las Vegas La Cave Wine and Food Hideaway, Wynn Resort, Las Vegas Crush, MGM Grand, Las Vegas La Comida, Downtown, Las Vegas 1129 Casino Center Blvd S Las Vegas, NV 89104 702-754-3414 ph 702-527-7757 fax",Paid by Customer
"Rhonda, you for the invoices. Can you send me the following invoices for customer # 754325 Rosedale Golf & Country Club: 3/8/19 237395319 9.20 3/10/19 13720210S 13.89 3/16/19 237410639 14.14 3/22/19 237424506 9.14",Statement
"Jim, I received a bill in the mail for invoice #199710991 for $1984.66. My records are showing that this was paid with check 0036319 on 3/29/19. These probably passed in the mail, but can you let me know that you got it please. Also just letting you know while Im emailing that invoice # 199722775 for $1908.09 was sent out on 4/5/19 check # 0036358.",Paid by Customer
"Tracy, Why do we have a stop on our shipment when the checks have been cut and are in the mail. Actually one should have reached ABC days ago. advise what we need to do in order to receive our order?",Promised
"Aanchal, find the below payment status for the requested invoices. Vendor Name Invoice # Invoice Date Amount Voucher Status Check # Check Date 245907377 2/26/2019 $94.89 - Inprocess - - ABC Food Service - Los Angeles OBCL245970792 3/25/2019 ($35.53) 3257324 Paid 5670301 4/2/2019",Paid by Customer
"HelloABC, We will be able to clear up this balance on 4/16/19. Pleased let us know if this is ok?",Promised
 Check 31126 for invoice 276289840 was sent last week.,Paid by Customer
Im making my final invoice payment and then I want ALL of my account info deleted-- You,Paid by Customer
"The first 4 invoices were paid online 4/5/19 $10,958.37 Next payment will be made 4/12/19 $23,399.87",Paid by Customer
 This check was mailed on Friday. You should receive it between today and tomorrow. moving forward send these emails to :jose.mejia@ad1global.com Have a nice day!,Paid by Customer
" you for bringing this to our attention. We cut and mailed check 19925 on 4/4 for 11,909.43. All of the invoices you inquired about are remitted on that check. We did not have the credit memo; I have pulled it.",Paid by Customer
Bother to much,Other
"Michelle, The payment for invoices that were due on 3/29 should be received by ABC today. Just this morning I have scheduled payment on the ABC site for the invoices that were due on 4/05 in the amount of $4,673.98. ABC should be in receipt of this payment tomorrow. Sincerely, Laura Johnson (425) 327-9259 Fax: 800-518-8481",Promised
"Ok,Thanks Barley,We like to set up credit card payment,advice .Thanks",Other
"If this doesnt catch itself up today, let me know. It has already been drafted from my bank account. Briann Welborn678-617-2139 ",Paid by Customer
"all, This payment was submitted last week, if you havent already you should be receiving it shortly. Best, Tyler King| General ManagerVictory Gardens Theater| Direct Line: 773.328.2145 | Tickets: 773.871.3000 My office hours: 10am-6pm, Mon-Fri",Paid by Customer
" email me all outstanding invoices, so we can rectify the situation. Much appreciated",Statement
"to all, I have already given a check for that invoice to the sales rep over two weeks ago.",Paid by Customer
"Can you double check your records for these payments? I have looked in our system and all were paid on 3-20-19 using reference # 887929. I would just disregard the notice because they were paid, but there is a couple of weeks in between the payment and the notice so I wanted to ensure that nothing was lost in the process.",Paid by Customer
" Were on autopay and ABC controls when these payments are scheduled, not us, unfortunately. However, the amount you mentioned is currently pending on our credit card, so you have indeed charged it. (There is an issue with your system not recognizing payments until days after the payment is initiated, when other businesses consider bills paid the moment the credit card payment is initiated.) Sincerely,Victoria Flamenco ",Paid by Customer
"Do not think this is O E Durants statement. Sent in error. Jane Hassell / Accounts Receivable O. E. Durant Ship Chandler 106A Bryan Rd., Wilmington, NC 28412 oedurant@oedurant.com /www.oedurant.comn O: (910) 799-7877",Contact Update
"#xeb85157fbf034ace8f812c2cd3ca469e a{ color:#00E; } #xeb85157fbf034ace8f812c2cd3ca469e a:visited{ color:#551A8B; } #xeb85157fbf034ace8f812c2cd3ca469e{ font-family:Arial; font-size:12pt; color:#000; margin-left:0px; margin-right:8px; background-color:#FFF; }blockquote.cite { margin-left: 5px; margin-right: 0px; padding-left: 10px; padding-right:0px; border-left: 1px solid #cccccc } blockquote.cite2 {margin-left: 5px; margin-right: 0px; padding-left: 10px; padding-right:0px; border-left: 1px solid #cccccc; margin-top: 3px; padding-top: 0px; } a img { border: 0px; } li[style='text-align: center;'], li[style='text-align: right;'] {  list-style-position: inside;} body { font-family: Arial; font-size: 12pt;   } ABC Account Center Jeanine, you for using ABC Account Center to make an online payment for the ABC PITTSBURGH: 3 LAKES GOLF COURSE: 606426 account. Below you will find the details of your scheduled payment. If you wish to review your payment, log into your accountClick Here. Payment detailsCustomer Name3 LAKES GOLF COURSEConfirmation Code606426-6515506Payment Date4/6/2019Account NameGeneralLast 4 Digits Of Checking******6411Created ByJeanine LabikTotal$935.43 This payment will be applied to the following: InvoicesInv #Due DateOpen AmountPay AmountNotes1997214604/5/2019$935.43$935.43 If you have any problems accessing this account, Click Here, or call us 724-452-2100 Copyright 2019 Billfire LLC. All rights reserved. As shown above, this has already been paid through your website. But when I login to our account, it is still showing as open. correct.",Paid by Customer
"I am sending a check for $292.88 the statement balance as of today, you will get check04/11/19.apply it. Also for amount $6627.58 is processing today and you should have it by end of the day.Thanksilyas",Promised
" I am with the Hilton Garden Inn, Lompoc, CA. I am contacting you in regards to a stop that has been put on our account. I have cleared up the credits that were supposed to be issued to me earlier but had not been done with our territory representative, Graciela Cachu. If you can contact me back as soon as possible to release the hold and to clarify a few questions I have that would be great. You may contact me at this email or at 805-735-1880 ext 603.",Paid by Customer
Can we get a copy of this invoiceCHBK367000516 for $161.84 please? I think Amber tried to get a copy off the website and could not.,Statement
The top invoice is being paid today. The remaining 6 should have been paid last week.,Paid by Customer
"Here's the document that Held, Susan shared with you. This link will work for anyone. powered by Microsoft Due Payment Notice 04-28-19 Open Microsoft respects your privacy. To learn more, read ourPrivacy Statement. Microsoft Corporation, One Microsoft Way, Redmond, WA 98052",Paid by Customer
Sorry for the oversight we never received this invoice on our end. It will be paid this week.,Promised
"The customer below has listed your business as a credit reference. May I have a reference for: WEST RIVER CENTER 5100 CHALK POINT RD WEST RIVER, MD 20778 410.867.0991 Date Opened: Terms: Balance as of this date: Past due balances to date: Oldest open invoice date: Last sale date: Last payment date: NSF check activity: Personal Guarantee: Yes or No use the New Email Address for all correspondences . The information furnished above is provided without responsibility on the part of the provider. The data is believed to be true and accurate, however, there is no intent of judgement nor representation regarding the financial position of the subject. you and have a Beautiful Day! Terrie P Edgett Credit Coordinator Phone: (443) 487-5194 Fax: (443) 487-5098",Statement
